HA,-1.011804345745
AQ,1.156923442481
PS,1.450638512782
ML (1),4.747609195735
PA (1),5.322430999929
F9,5.465939943951
NW,5.557783392672
WN,5.560774259882
OO,5.735912259692
9E,5.867184661696
TZ,6.128612134539
US,6.580217835502
DH,6.798439865848
EA,6.824985003192
TW,6.859485199702
CO,6.959318619648
AA,7.093206462456
OH,7.349702615246
DL,7.580377137012
HP,7.725963352792
AS,8.4992356394
UA,8.791364051422
MQ,8.818930996899
XE,9.011175518257
FL,9.456388490923
B6,9.583091879329
PI,10.631856019082
EV,10.640382914488
YV,11.401685239097
