ORD,12449354
ATL,11540351
DFW,10799298
LAX,7723582
PHX,6585471
DEN,6273750
DTW,5636620
IAH,5480734
MSP,5199211
SFO,5171022
EWR,5136970
STL,5125334
LAS,4962943
CLT,4824703
LGA,4337165
BOS,4311114
PHL,4079646
PIT,3936220
SLC,3815039
SEA,3736759
MCO,3721847
CVG,3684615
DCA,3464012
BWI,3230759
SAN,2908512
MIA,2734043
CLE,2707070
IAD,2551657
JFK,2512551
TPA,2484368
HOU,2277584
MEM,2271706
BNA,2222694
MDW,2220047
MCI,2207282
OAK,2189290
SJC,2079784
PDX,1989679
RDU,1947969
FLL,1905223
DAL,1801225
MSY,1793228
IND,1559857
SNA,1544797
SMF,1533795
SAT,1523776
AUS,1511779
ONT,1465005
CMH,1432186
ABQ,1429375
BDL,1221541
BUR,1094897
PBI,1005986
JAX,977750
HNL,974188
ELP,969650
RNO,961810
BUF,926148
OKC,909127
TUL,885119
SDF,872530
SJU,868685
MKE,842611
PVD,828287
ORF,813873
TUS,782365
BHM,766051
OMA,765623
RSW,755071
ANC,743457
GSO,736383
DAY,720767
ROC,699507
RIC,676579
SYR,634849
LIT,621755
ALB,551504
COS,512190
GEG,496691
GRR,455855
MHT,451738
BOI,449542
CHS,422783
DSM,419142
ICT,398163
GSP,382481
TYS,381176
JAN,359039
SAV,351615
LBB,326121
CAE,321310
SRQ,319259
MDT,317567
OGG,314415
PWM,306047
HSV,303223
PNS,297986
LGB,296319
MAF,294783
ISP,293444
BTR,284860
MSN,280252
PSP,278346
FAT,259788
LEX,249460
AMA,247873
CID,244688
SHV,244095
HPN,236671
ABE,236092
CRP,231968
SBA,228310
MOB,228138
HRL,218751
BTV,210303
FSD,195129
TLH,194398
FAI,187332
BIL,174710
JNU,167764
XNA,166467
DAB,165759
GRB,163187
MYR,157749
SGF,156574
CAK,154698
FWA,149263
KOA,147652
MLI,144477
MBS,143550
LIH,142206
EUG,139368
CHA,135634
BZN,135244
ROA,133819
MFE,129979
MRY,128872
LAN,128383
MLB,127450
SBN,125917
FAR,123894
AZO,122921
LNK,122751
CRW,116938
GTF,115689
RST,113534
STT,112654
TOL,111879
SWF,110161
AVL,109406
ILM,109043
VPS,108565
FNT,107343
MSO,106435
MFR,105529
BGR,102965
AGS,102527
MGM,102334
RAP,101794
MLU,98078
KTN,97218
GPT,93311
TRI,93055
BIS,91910
EVV,91423
AVP,89469
JAC,87132
FAY,84823
PHF,84477
PIA,83157
SBP,78583
PSC,73760
LFT,73515
BFL,70886
GNV,69124
IDA,68971
ITO,68303
GJT,66766
TVC,65407
FCA,63103
DLH,62742
ERI,55521
LSE,54143
SIT,53904
CMI,52492
DET,52213
MOT,51839
STX,51471
BGM,51033
HLN,50465
CPR,50434
PFN,49960
ATW,47464
EGE,46349
ELM,45783
ACV,45521
GFK,45334
BMI,43808
YUM,43806
GRK,43038
OME,40250
RDM,39431
ABI,39323
OTZ,39039
ACT,38271
CHO,37503
DRO,37500
TYR,37247
SGU,37173
CLL,36852
BET,36840
HDN,36664
CSG,36065
SUN,35772
ITH,34926
SUX,34431
AEX,33813
FSM,33784
HTS,33393
FLG,33151
LRD,33116
MTJ,32869
LAW,32639
SPS,32127
EYW,31607
GUM,30462
SJT,30230
BRO,28543
CDV,28473
WRG,28287
PSG,28254
YAK,28226
CLD,27760
ASE,27263
ORH,26870
EKO,24789
BRW,24669
TWF,24233
MOD,23336
ILE,23167
RDD,23109
SMX,22655
SCC,21799
TXK,21497
PIH,21328
BTM,21326
OAJ,20971
DHN,20700
ADQ,19327
DBQ,18654
OXR,18538
SPN,17968
LYH,17791
GGG,17443
ACY,17267
BPT,16911
BQN,16333
LCH,15743
ABY,15678
GTR,14858
GUC,14602
MCN,14403
VLD,14346
HVN,14207
CIC,14105
CWA,13839
BQK,13695
BLI,13662
COD,13177
SCE,12908
PUB,12853
PIE,12574
MEI,12383
CEC,12340
IYK,11882
DUT,11589
SPI,11436
AKN,11386
GCN,11215
ISO,11122
IPL,11082
MQT,10847
FLO,9855
DLG,9273
UCA,8816
CCR,8145
APF,7507
CDC,7397
EFD,7279
PMD,6579
SCK,6492
TVL,6139
PSE,5503
LWS,5247
VCT,4879
ROR,4415
VIS,3967
TUP,3954
ROP,3877
EAU,3646
ACK,3633
GST,3571
HHH,3547
YKM,3377
LWB,3372
TTN,3358
WYS,3199
RFD,3142
EWN,2549
ALO,2318
ROW,2049
SLE,1764
ILG,1564
PLN,1551
GCC,1492
HKY,1344
TEX,1310
YAP,1299
RKS,1151
ADK,1148
CMX,1059
ANI,895
KSM,882
MKG,788
RHI,782
SOP,636
INL,580
LNY,579
MKK,577
OTH,543
LMT,542
BJI,383
MTH,255
MAZ,239
MIB,178
RDR,92
OGD,25
CYS,14
CKB,14
PVU,13
PIR,8
FMN,8
GLH,4
MKC,3
BFF,3
LAR,2
BFI,2
SKA,1
RCA,1
LBF,1
CBM,1
